draw_number,draw_date,number1,number2,number3,number4,number5,number6,strong_number
3870,01/02/2026,5,12,18,24,31,36,4
3869,25/01/2026,7,14,19,28,33,35,2
3868,18/01/2026,3,9,15,22,29,37,6
3867,11/01/2026,2,8,16,23,30,34,1
3866,04/01/2026,4,11,17,25,32,36,5
3865,28/12/2025,6,13,20,26,31,35,3
3864,21/12/2025,1,10,14,21,27,33,7
3863,14/12/2025,5,12,19,24,30,37,4
3862,07/12/2025,3,9,16,22,28,34,2
3861,30/11/2025,7,15,18,25,31,36,6
3860,23/11/2025,2,11,17,23,29,35,1
3859,16/11/2025,4,8,14,20,26,32,5
3858,09/11/2025,6,13,19,27,33,37,3
3857,02/11/2025,1,10,15,21,28,34,7
3856,26/10/2025,5,12,18,24,30,36,4
3855,19/10/2025,3,9,16,22,29,35,2
3854,12/10/2025,7,14,20,25,31,37,6
3853,05/10/2025,2,8,13,19,27,33,1
3852,28/09/2025,4,11,17,23,28,34,5
3851,21/09/2025,6,10,15,21,26,32,3
3850,14/09/2025,1,12,18,24,30,36,7
3849,07/09/2025,5,9,16,22,29,35,4
3848,31/08/2025,3,14,19,25,31,37,2
3847,24/08/2025,7,11,17,23,27,33,6
3846,17/08/2025,2,8,13,20,28,34,1
3845,10/08/2025,4,10,15,21,26,32,5
3844,03/08/2025,6,12,18,24,30,36,3
3843,27/07/2025,1,9,16,22,29,35,7
3842,20/07/2025,5,14,19,25,31,37,4
3841,13/07/2025,3,11,17,23,27,33,2
